Time(s),Voltage(V),Current(A),Cycle,Step,Status
0.0,0.00013,0.0107918,1,1,Measuring
0.1,0.02003,0.0105055,1,1,Measuring
0.2,0.03153,0.0088248,1,1,Measuring
0.3,0.05765,0.0098864,1,1,Measuring
0.4,0.07208,0.0087381,1,1,Measuring
0.5,0.09159,0.008501,1,1,Measuring
0.6,0.10314,0.0081606,1,1,Measuring
0.7,0.1307,0.0071439,1,1,Idle
0.8,0.14147,0.0063979,1,1,Measuring
0.9,0.14705,0.0060727,1,1,Measuring
1.0,0.16447,0.0051397,1,1,Measuring
1.1,0.17826,0.0045177,1,1,Measuring
1.2,0.17828,0.0029184,1,1,Measuring
1.3,0.18954,0.0025887,1,1,Measuring
1.4,0.18643,0.0017529,1,1,Measuring
1.5,0.20104,0.0003288,1,1,Measuring
1.6,0.19835,-0.0013956,1,1,Measuring
1.7,0.19883,-0.0015173,1,1,Measuring
1.8,0.20061,-0.0028686,1,1,Measuring
1.9,0.19081,-0.00415,1,1,Idle
2.0,0.18471,-0.0044262,1,1,Measuring
2.1,0.17188,-0.004612,1,1,Measuring
2.2,0.15305,-0.0055803,1,1,Measuring
2.3,0.15109,-0.0069424,1,1,Measuring
2.4,0.1425,-0.0069247,1,1,Idle
2.5,0.1247,-0.0092201,1,1,Measuring
2.6,0.09695,-0.0085053,1,1,Measuring
2.7,0.08868,-0.0094083,1,1,Measuring
2.8,0.07097,-0.0094805,1,1,Measuring
2.9,0.0486,-0.0099107,1,1,Measuring
3.0,0.02818,-0.0090253,1,1,Measuring
3.1,0.0066,-0.0100768,1,1,Measuring
3.2,-0.01111,-0.0100102,1,1,Measuring
3.3,-0.02412,-0.0097401,1,1,Measuring
3.4,-0.05126,-0.0093376,1,1,Measuring
3.5,-0.06603,-0.008989,1,1,Measuring
3.6,-0.09098,-0.0088427,1,1,Measuring
3.7,-0.10022,-0.0087624,1,1,Measuring
3.8,-0.11226,-0.0082141,1,1,Measuring
3.9,-0.13912,-0.0072431,1,1,Measuring
4.0,-0.15908,-0.0064793,1,1,Measuring
4.1,-0.16462,-0.0065735,1,1,Measuring
4.2,-0.17063,-0.0047673,1,1,Measuring
4.3,-0.1915,-0.0036632,1,1,Measuring
4.4,-0.18658,-0.0037444,1,1,Measuring
4.5,-0.19217,-0.0020782,1,1,Measuring
4.6,-0.20295,-0.001681,1,1,Idle
4.7,-0.18895,-0.0002781,1,1,Measuring
4.8,-0.20418,0.0006989,1,1,Measuring
4.9,-0.19321,0.0016351,1,1,Measuring
5.0,-0.17827,0.003075,1,1,Measuring
5.1,-0.17839,0.003911,1,1,Measuring
5.2,-0.18116,0.0057253,1,1,Measuring
5.3,-0.17087,0.0052377,1,1,Measuring
5.4,-0.1566,0.0058445,1,1,Idle
5.5,-0.1474,0.0069881,1,1,Measuring
5.6,-0.1319,0.0080059,1,1,Measuring
5.7,-0.11332,0.0083334,1,1,Measuring
5.8,-0.1001,0.0090151,1,1,Measuring
5.9,-0.0681,0.0100181,1,1,Measuring
6.0,-0.06198,0.0100213,1,1,Measuring
6.1,-0.02687,0.0107925,1,1,Measuring
6.2,-0.02302,0.010084,1,1,Measuring
6.3,0.00388,0.0098417,1,1,Measuring
6.4,0.02244,0.0092626,1,1,Measuring
6.5,0.03998,0.0091096,1,1,Measuring
6.6,0.06423,0.0099273,1,1,Measuring
6.7,0.08802,0.0099541,1,1,Measuring
6.8,0.09389,0.0089141,1,1,Measuring
6.9,0.11265,0.0077211,1,1,Measuring
7.0,0.12891,0.0069909,1,1,Measuring
7.1,0.14558,0.0072649,1,1,Measuring
7.2,0.16324,0.0054248,1,1,Measuring
7.3,0.16361,0.0062298,1,1,Measuring
7.4,0.17919,0.0037354,1,1,Measuring
7.5,0.18057,0.0038149,1,1,Measuring
7.6,0.19502,0.0022406,1,1,Measuring
7.7,0.19685,0.0013018,1,1,Measuring
7.8,0.19278,0.0006573,1,1,Measuring
7.9,0.19558,-0.0009545,1,1,Measuring
8.0,0.20514,-0.0004975,1,1,Measuring
8.1,0.18831,-0.0026396,1,1,Error
8.2,0.18668,-0.0038335,1,1,Measuring
8.3,0.1812,-0.0034564,1,1,Measuring
8.4,0.16888,-0.0058931,1,1,Measuring
8.5,0.16145,-0.0048848,1,1,Measuring
8.6,0.14487,-0.0063776,1,1,Measuring
8.7,0.13739,-0.0078227,1,1,Measuring
8.8,0.11374,-0.0078603,1,1,Error
8.9,0.10213,-0.0076358,1,1,Measuring
9.0,0.08058,-0.0096035,1,1,Error
9.1,0.05833,-0.009155,1,1,Measuring
9.2,0.03908,-0.0092239,1,1,Measuring
9.3,0.03441,-0.0100662,1,1,Measuring
9.4,-0.00124,-0.009498,1,1,Measuring
9.5,-0.01482,-0.0100263,1,1,Measuring
9.6,-0.02865,-0.0093146,1,1,Measuring
9.7,-0.05844,-0.0089422,1,1,Idle
9.8,-0.08283,-0.0093871,1,1,Measuring
9.9,-0.09239,-0.009082,1,1,Measuring
